Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-AKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.56204, auc : 0.76612, accuracy : 0.72460
Epoch 1/20, valid auc : 0.85438, valid accuracy : 0.79218
0.0000 to 0.8544
test_auc: 0.5748	test_accuracy: 0.5740	test_loss: 0.6923	
79test_auc: 0.8596	test_accuracy: 0.8182	test_loss: nan	
80test_auc: 0.8389	test_accuracy: 0.7831	test_loss: nan	
81test_auc: 0.8404	test_accuracy: 0.7824	test_loss: nan	
82test_auc: 0.8317	test_accuracy: 0.7929	test_loss: nan	
83test_auc: 0.8372	test_accuracy: 0.8239	test_loss: nan	
84test_auc: 0.8275	test_accuracy: 0.7919	test_loss: nan	
85test_auc: 0.8797	test_accuracy: 0.8124	test_loss: nan	
86test_auc: 0.8128	test_accuracy: 0.7719	test_loss: nan	
87test_auc: 0.8798	test_accuracy: 0.8291	test_loss: nan	
88test_auc: 0.8171	test_accuracy: 0.7523	test_loss: nan	
89test_auc: 0.8620	test_accuracy: 0.7916	test_loss: nan	
90test_auc: 0.8538	test_accuracy: 0.7783	test_loss: nan	
91test_auc: 0.8516	test_accuracy: 0.7648	test_loss: nan	
92test_auc: 0.8390	test_accuracy: 0.7722	test_loss: nan	
93test_auc: 0.8703	test_accuracy: 0.8019	test_loss: nan	
94test_auc: 0.8426	test_accuracy: 0.7956	test_loss: nan	
95test_auc: 0.8600	test_accuracy: 0.7927	test_loss: nan	
96test_auc: 0.8774	test_accuracy: 0.7926	test_loss: nan	
97test_auc: 0.8387	test_accuracy: 0.7767	test_loss: nan	
98test_auc: 0.8452	test_accuracy: 0.8075	test_loss: nan	
99test_auc: 0.8446	test_accuracy: 0.7889	test_loss: nan	
100test_auc: 0.8380	test_accuracy: 0.7915	test_loss: nan	
101test_auc: 0.8477	test_accuracy: 0.7879	test_loss: nan	
102test_auc: 0.8285	test_accuracy: 0.7797	test_loss: nan	
103test_auc: 0.8443	test_accuracy: 0.7852	test_loss: nan	
104test_auc: 0.8474	test_accuracy: 0.7861	test_loss: nan	
105test_auc: 0.8623	test_accuracy: 0.8078	test_loss: nan	
106test_auc: 0.8506	test_accuracy: 0.8177	test_loss: nan	
107test_auc: 0.8495	test_accuracy: 0.7958	test_loss: nan	
108test_auc: 0.8163	test_accuracy: 0.7743	test_loss: nan	
109test_auc: 0.8946	test_accuracy: 0.8285	test_loss: nan	
110test_auc: 0.7965	test_accuracy: 0.7507	test_loss: nan	
111test_auc: 0.8664	test_accuracy: 0.8027	test_loss: nan	
112test_auc: 0.8313	test_accuracy: 0.7754	test_loss: nan	
113test_auc: 0.8799	test_accuracy: 0.8011	test_loss: nan	
114test_auc: 0.8268	test_accuracy: 0.7473	test_loss: nan	
115test_auc: 0.8744	test_accuracy: 0.8338	test_loss: nan	
116test_auc: 0.8551	test_accuracy: 0.8115	test_loss: nan	
117test_auc: 0.8529	test_accuracy: 0.7775	test_loss: nan	
118test_auc: 0.8592	test_accuracy: 0.8204	test_loss: nan	
119test_auc: 0.8943	test_accuracy: 0.8504	test_loss: nan	
120test_auc: 0.8308	test_accuracy: 0.8000	test_loss: nan	
121test_auc: 0.8679	test_accuracy: 0.8222	test_loss: nan	
122test_auc: 0.8833	test_accuracy: 0.8263	test_loss: nan	
123test_auc: 0.8842	test_accuracy: 0.8118	test_loss: nan	
124test_auc: 0.8377	test_accuracy: 0.7725	test_loss: nan	
125test_auc: 0.8463	test_accuracy: 0.7784	test_loss: nan	
126test_auc: 0.8476	test_accuracy: 0.7784	test_loss: nan	
127test_auc: 0.8855	test_accuracy: 0.8148	test_loss: nan	
128test_auc: 0.8298	test_accuracy: 0.7571	test_loss: nan	
129test_auc: 0.8680	test_accuracy: 0.8086	test_loss: nan	
130test_auc: 0.8537	test_accuracy: 0.7787	test_loss: nan	
131test_auc: 0.8279	test_accuracy: 0.7672	test_loss: nan	
132test_auc: 0.8321	test_accuracy: 0.7746	test_loss: nan	
133test_auc: 0.8728	test_accuracy: 0.7849	test_loss: nan	
134test_auc: 0.8703	test_accuracy: 0.8099	test_loss: nan	
135test_auc: 0.8770	test_accuracy: 0.8265	test_loss: nan	
136test_auc: 0.8490	test_accuracy: 0.8047	test_loss: nan	
137test_auc: 0.8763	test_accuracy: 0.7976	test_loss: nan	
138test_auc: 0.8996	test_accuracy: 0.8149	test_loss: nan	
139test_auc: 0.8562	test_accuracy: 0.7922	test_loss: nan	
140test_auc: 0.8545	test_accuracy: 0.8000	test_loss: nan	
141test_auc: 0.8810	test_accuracy: 0.8024	test_loss: nan	
142test_auc: 0.8512	test_accuracy: 0.7945	test_loss: nan	
143test_auc: 0.8778	test_accuracy: 0.8405	test_loss: nan	
144test_auc: 0.8626	test_accuracy: 0.7877	test_loss: nan	
145test_auc: 0.8729	test_accuracy: 0.8043	test_loss: nan	
146test_auc: 0.8560	test_accuracy: 0.8031	test_loss: nan	
147test_auc: 0.8993	test_accuracy: 0.8276	test_loss: nan	
148test_auc: 0.8704	test_accuracy: 0.8323	test_loss: nan	
149test_auc: 0.8675	test_accuracy: 0.7981	test_loss: nan	
150test_auc: 0.8572	test_accuracy: 0.8194	test_loss: nan	
151test_auc: 0.8789	test_accuracy: 0.8323	test_loss: nan	
152test_auc: 0.8490	test_accuracy: 0.8091	test_loss: nan	
153test_auc: 0.8649	test_accuracy: 0.8111	test_loss: nan	
154test_auc: 0.8702	test_accuracy: 0.7934	test_loss: nan	
155test_auc: 0.8624	test_accuracy: 0.8355	test_loss: nan	
156test_auc: 0.8752	test_accuracy: 0.8300	test_loss: nan	
157test_auc: 0.8910	test_accuracy: 0.8495	test_loss: nan	
158test_auc: 0.8589	test_accuracy: 0.8215	test_loss: nan	
159test_auc: 0.8797	test_accuracy: 0.8373	test_loss: nan	
160test_auc: 0.8573	test_accuracy: 0.8339	test_loss: nan	
161test_auc: 0.8537	test_accuracy: 0.8068	test_loss: nan	
162test_auc: 0.8601	test_accuracy: 0.8197	test_loss: nan	
163test_auc: 0.8346	test_accuracy: 0.8197	test_loss: nan	
