Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='AKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.64712, auc : 0.57342, accuracy : 0.56790
Epoch 1/20, valid auc : 0.74970, valid accuracy : 0.72403
0.0000 to 0.7497
test_auc: 0.6167	test_accuracy: 0.5978	test_loss: 0.6633	
test_auc: 0.7936	test_accuracy: 0.7465	test_loss: 0.5553	
test_auc: 0.6993	test_accuracy: 0.6748	test_loss: 0.6013	
test_auc: 0.7610	test_accuracy: 0.7406	test_loss: 0.5529	
test_auc: 0.7061	test_accuracy: 0.7036	test_loss: 0.5765	
test_auc: 0.7543	test_accuracy: 0.7366	test_loss: 0.5579	
test_auc: 0.7323	test_accuracy: 0.7182	test_loss: 0.5730	
test_auc: 0.7712	test_accuracy: 0.7506	test_loss: 0.5412	
test_auc: 0.7596	test_accuracy: 0.7355	test_loss: 0.5594	
test_auc: 0.7753	test_accuracy: 0.7444	test_loss: 0.5592	
test_auc: 0.7385	test_accuracy: 0.7117	test_loss: 0.5789	
test_auc: 0.7553	test_accuracy: 0.7148	test_loss: 0.5680	
test_auc: 0.7310	test_accuracy: 0.7056	test_loss: 0.5754	
test_auc: 0.7439	test_accuracy: 0.7280	test_loss: 0.5711	
test_auc: 0.7582	test_accuracy: 0.7370	test_loss: 0.5806	
test_auc: 0.7511	test_accuracy: 0.7026	test_loss: 0.5993	
test_auc: 0.7361	test_accuracy: 0.7070	test_loss: 0.6001	
test_auc: 0.7545	test_accuracy: 0.7143	test_loss: 0.5844	
test_auc: 0.7408	test_accuracy: 0.6921	test_loss: 0.6042	
test_auc: 0.7368	test_accuracy: 0.7124	test_loss: 0.6014	
test_auc: 0.7519	test_accuracy: 0.7061	test_loss: nan	
test_auc: 0.7501	test_accuracy: 0.7261	test_loss: nan	
test_auc: 0.7297	test_accuracy: 0.6764	test_loss: nan	
test_auc: 0.7713	test_accuracy: 0.7188	test_loss: nan	
