Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=1, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.44645, auc : 0.80402, accuracy : 0.78953
Epoch 1/20, valid auc : 0.82638, valid accuracy : 0.80469
0.0000 to 0.8264
test_auc: 0.6849	test_accuracy: 0.6641	test_loss: 0.6112	
0test_auc: 0.6983	test_accuracy: 0.7292	test_loss: 0.5504	
1test_auc: 0.9132	test_accuracy: 0.8828	test_loss: 0.2994	
2test_auc: 0.8150	test_accuracy: 0.8047	test_loss: 0.4305	
3test_auc: 0.8100	test_accuracy: 0.8116	test_loss: 0.4185	
4test_auc: 0.8781	test_accuracy: 0.8497	test_loss: 0.3427	
5test_auc: 0.8352	test_accuracy: 0.8154	test_loss: 0.4013	
6test_auc: 0.8368	test_accuracy: 0.8167	test_loss: 0.3943	
7test_auc: 0.8564	test_accuracy: 0.8441	test_loss: 0.3611	
8test_auc: 0.8292	test_accuracy: 0.8151	test_loss: 0.4017	
9test_auc: 0.8310	test_accuracy: 0.8123	test_loss: 0.4000	
10test_auc: 0.8423	test_accuracy: 0.8259	test_loss: 0.3773	
11test_auc: 0.8324	test_accuracy: 0.8155	test_loss: 0.3978	
12test_auc: 0.8290	test_accuracy: 0.8072	test_loss: 0.4022	
13test_auc: 0.8473	test_accuracy: 0.8196	test_loss: 0.3947	
14test_auc: 0.8342	test_accuracy: 0.8137	test_loss: nan	
15test_auc: 0.8238	test_accuracy: 0.8096	test_loss: nan	
16test_auc: 0.8291	test_accuracy: 0.8132	test_loss: nan	
17test_auc: 0.8320	test_accuracy: 0.8069	test_loss: nan	
18test_auc: 0.8396	test_accuracy: 0.8076	test_loss: nan	
19test_auc: 0.8413	test_accuracy: 0.8135	test_loss: nan	
20test_auc: 0.8427	test_accuracy: 0.8182	test_loss: nan	
21test_auc: 0.8206	test_accuracy: 0.8026	test_loss: nan	
22test_auc: 0.8470	test_accuracy: 0.8091	test_loss: nan	
23test_auc: 0.8278	test_accuracy: 0.8144	test_loss: nan	
24test_auc: 0.8405	test_accuracy: 0.8197	test_loss: nan	
