Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=3, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='AKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.54657, auc : 0.66221, accuracy : 0.70717
Epoch 1/20, valid auc : 0.69606, valid accuracy : 0.72775
0.0000 to 0.6961
test_auc: 0.6937	test_accuracy: 0.7211	test_loss: nan	
test_auc: 0.7243	test_accuracy: 0.7461	test_loss: nan	
test_auc: 0.7006	test_accuracy: 0.7315	test_loss: nan	
test_auc: 0.7019	test_accuracy: 0.7310	test_loss: nan	
test_auc: 0.6453	test_accuracy: 0.7330	test_loss: nan	
test_auc: 0.7046	test_accuracy: 0.7317	test_loss: nan	
test_auc: 0.6946	test_accuracy: 0.7197	test_loss: nan	
test_auc: 0.7073	test_accuracy: 0.7302	test_loss: nan	
test_auc: 0.6864	test_accuracy: 0.6931	test_loss: nan	
test_auc: 0.6950	test_accuracy: 0.7041	test_loss: nan	
test_auc: 0.7110	test_accuracy: 0.6872	test_loss: nan	
test_auc: 0.6793	test_accuracy: 0.7165	test_loss: nan	
test_auc: 0.6699	test_accuracy: 0.7062	test_loss: nan	
test_auc: 0.6882	test_accuracy: 0.6869	test_loss: nan	
test_auc: 0.6662	test_accuracy: 0.7150	test_loss: nan	
test_auc: 0.7091	test_accuracy: 0.7367	test_loss: nan	
test_auc: 0.6432	test_accuracy: 0.6988	test_loss: nan	
test_auc: 0.6395	test_accuracy: 0.6725	test_loss: nan	
test_auc: 0.6792	test_accuracy: 0.7256	test_loss: nan	
test_auc: 0.6554	test_accuracy: 0.7154	test_loss: nan	
test_auc: 0.7206	test_accuracy: 0.7391	test_loss: nan	
test_auc: 0.6992	test_accuracy: 0.6917	test_loss: nan	
test_auc: 0.7199	test_accuracy: 0.7014	test_loss: nan	
test_auc: 0.6839	test_accuracy: 0.6667	test_loss: nan	
test_auc: 0.6856	test_accuracy: 0.6909	test_loss: nan	
test_auc: 0.6558	test_accuracy: 0.6991	test_loss: nan	
test_auc: 0.6849	test_accuracy: 0.6786	test_loss: nan	
test_auc: 0.7019	test_accuracy: 0.6744	test_loss: nan	
test_auc: 0.7556	test_accuracy: 0.7416	test_loss: nan	
test_auc: 0.7244	test_accuracy: 0.7509	test_loss: nan	
test_auc: 0.6231	test_accuracy: 0.6762	test_loss: nan	
test_auc: 0.7118	test_accuracy: 0.7482	test_loss: nan	
test_auc: 0.6914	test_accuracy: 0.7059	test_loss: nan	
test_auc: 0.7341	test_accuracy: 0.7388	test_loss: nan	
test_auc: 0.6663	test_accuracy: 0.6768	test_loss: nan	
test_auc: 0.7060	test_accuracy: 0.7181	test_loss: nan	
test_auc: 0.6824	test_accuracy: 0.7024	test_loss: nan	
test_auc: 0.7015	test_accuracy: 0.7085	test_loss: nan	
test_auc: 0.6810	test_accuracy: 0.7436	test_loss: nan	
test_auc: 0.6991	test_accuracy: 0.7217	test_loss: nan	
test_auc: 0.6134	test_accuracy: 0.7321	test_loss: nan	
test_auc: 0.6380	test_accuracy: 0.7000	test_loss: nan	
test_auc: 0.6673	test_accuracy: 0.7083	test_loss: nan	
test_auc: 0.7741	test_accuracy: 0.7583	test_loss: nan	
test_auc: 0.7668	test_accuracy: 0.7751	test_loss: nan	
test_auc: 0.6696	test_accuracy: 0.6995	test_loss: nan	
test_auc: 0.6779	test_accuracy: 0.6701	test_loss: nan	
test_auc: 0.7318	test_accuracy: 0.7092	test_loss: nan	
test_auc: 0.7418	test_accuracy: 0.7302	test_loss: nan	
test_auc: 0.6807	test_accuracy: 0.6915	test_loss: nan	
test_auc: 0.7165	test_accuracy: 0.7027	test_loss: nan	
test_auc: 0.7607	test_accuracy: 0.7514	test_loss: nan	
test_auc: 0.7369	test_accuracy: 0.7598	test_loss: nan	
test_auc: 0.7135	test_accuracy: 0.6667	test_loss: nan	
test_auc: 0.6985	test_accuracy: 0.7000	test_loss: nan	
test_auc: 0.7099	test_accuracy: 0.6807	test_loss: nan	
test_auc: 0.6987	test_accuracy: 0.6687	test_loss: nan	
test_auc: 0.6951	test_accuracy: 0.7222	test_loss: nan	
test_auc: 0.6401	test_accuracy: 0.6899	test_loss: nan	
test_auc: 0.6646	test_accuracy: 0.7237	test_loss: nan	
test_auc: 0.7855	test_accuracy: 0.7838	test_loss: nan	
test_auc: 0.7413	test_accuracy: 0.7431	test_loss: nan	
test_auc: 0.7713	test_accuracy: 0.7214	test_loss: nan	
test_auc: 0.7637	test_accuracy: 0.7556	test_loss: nan	
test_auc: 0.7163	test_accuracy: 0.7652	test_loss: nan	
test_auc: 0.6774	test_accuracy: 0.6977	test_loss: nan	
test_auc: 0.7219	test_accuracy: 0.7752	test_loss: nan	
test_auc: 0.7611	test_accuracy: 0.7500	test_loss: nan	
test_auc: 0.6652	test_accuracy: 0.6960	test_loss: nan	
test_auc: 0.7153	test_accuracy: 0.7805	test_loss: nan	
test_auc: 0.6664	test_accuracy: 0.7190	test_loss: nan	
test_auc: 0.8021	test_accuracy: 0.7500	test_loss: nan	
test_auc: 0.6410	test_accuracy: 0.6140	test_loss: nan	
test_auc: 0.7778	test_accuracy: 0.7411	test_loss: nan	
test_auc: 0.6947	test_accuracy: 0.6909	test_loss: nan	
test_auc: 0.7531	test_accuracy: 0.7264	test_loss: nan	
test_auc: 0.6598	test_accuracy: 0.6893	test_loss: nan	
test_auc: 0.6703	test_accuracy: 0.7426	test_loss: nan	
test_auc: 0.7306	test_accuracy: 0.7449	test_loss: nan	
test_auc: 0.6914	test_accuracy: 0.6495	test_loss: nan	
test_auc: 0.7031	test_accuracy: 0.6562	test_loss: nan	
test_auc: 0.7286	test_accuracy: 0.7292	test_loss: nan	
test_auc: 0.6844	test_accuracy: 0.6809	test_loss: nan	
test_auc: 0.8029	test_accuracy: 0.7865	test_loss: nan	
test_auc: 0.7112	test_accuracy: 0.7011	test_loss: nan	
test_auc: 0.6220	test_accuracy: 0.6395	test_loss: nan	
test_auc: 0.7539	test_accuracy: 0.7412	test_loss: nan	
test_auc: 0.7804	test_accuracy: 0.7470	test_loss: nan	
test_auc: 0.6722	test_accuracy: 0.7108	test_loss: nan	
test_auc: 0.6839	test_accuracy: 0.6707	test_loss: nan	
test_auc: 0.7348	test_accuracy: 0.7561	test_loss: nan	
test_auc: 0.6530	test_accuracy: 0.6962	test_loss: nan	
test_auc: 0.6925	test_accuracy: 0.6494	test_loss: nan	
test_auc: 0.7197	test_accuracy: 0.7237	test_loss: nan	
test_auc: 0.7082	test_accuracy: 0.6447	test_loss: nan	
test_auc: 0.7490	test_accuracy: 0.7105	test_loss: nan	
test_auc: 0.6137	test_accuracy: 0.7200	test_loss: nan	
test_auc: 0.6539	test_accuracy: 0.6389	test_loss: nan	
test_auc: 0.6359	test_accuracy: 0.6620	test_loss: nan	
test_auc: 0.6050	test_accuracy: 0.6714	test_loss: nan	
test_auc: 0.6651	test_accuracy: 0.6714	test_loss: nan	
test_auc: 0.6618	test_accuracy: 0.6176	test_loss: nan	
test_auc: 0.7521	test_accuracy: 0.8060	test_loss: nan	
test_auc: 0.7083	test_accuracy: 0.6154	test_loss: nan	
test_auc: 0.7750	test_accuracy: 0.7460	test_loss: nan	
test_auc: 0.6854	test_accuracy: 0.6557	test_loss: nan	
test_auc: 0.6783	test_accuracy: 0.7541	test_loss: nan	
test_auc: 0.5272	test_accuracy: 0.7049	test_loss: nan	
test_auc: 0.7052	test_accuracy: 0.6949	test_loss: nan	
test_auc: 0.7466	test_accuracy: 0.7931	test_loss: nan	
test_auc: 0.7301	test_accuracy: 0.7586	test_loss: nan	
test_auc: 0.7258	test_accuracy: 0.8393	test_loss: nan	
test_auc: 0.7090	test_accuracy: 0.6909	test_loss: nan	
test_auc: 0.6862	test_accuracy: 0.7455	test_loss: nan	
test_auc: 0.8222	test_accuracy: 0.8113	test_loss: nan	
test_auc: 0.7820	test_accuracy: 0.8077	test_loss: nan	
test_auc: 0.7841	test_accuracy: 0.7843	test_loss: nan	
Epoch 2/20, loss : 0.52879, auc : 0.70126, accuracy : 0.72328
Epoch 2/20, valid auc : 0.70378, valid accuracy : 0.73479
0.6961 to 0.7038
test_auc: 0.6825	test_accuracy: 0.6322	test_loss: 0.6147	
test_auc: 0.7090	test_accuracy: 0.7001	test_loss: 0.5411	
test_auc: 0.7354	test_accuracy: 0.7605	test_loss: 0.4743	
test_auc: 0.6457	test_accuracy: 0.7105	test_loss: 0.5577	
test_auc: 0.6887	test_accuracy: 0.7306	test_loss: 0.5153	
test_auc: 0.7012	test_accuracy: 0.7477	test_loss: 0.4945	
test_auc: 0.6957	test_accuracy: 0.7369	test_loss: 0.5169	
test_auc: 0.7151	test_accuracy: 0.7401	test_loss: 0.5047	
test_auc: 0.7087	test_accuracy: 0.7583	test_loss: 0.4910	
test_auc: 0.6994	test_accuracy: 0.7362	test_loss: 0.5111	
test_auc: 0.7210	test_accuracy: 0.7539	test_loss: 0.4984	
test_auc: 0.7117	test_accuracy: 0.7532	test_loss: 0.4949	
test_auc: 0.7134	test_accuracy: 0.7452	test_loss: 0.5096	
test_auc: 0.7011	test_accuracy: 0.7317	test_loss: 0.5188	
test_auc: 0.7143	test_accuracy: 0.7464	test_loss: 0.5053	
test_auc: 0.7043	test_accuracy: 0.7467	test_loss: nan	
test_auc: 0.7014	test_accuracy: 0.7447	test_loss: nan	
test_auc: 0.7098	test_accuracy: 0.7474	test_loss: nan	
test_auc: 0.7180	test_accuracy: 0.7493	test_loss: nan	
test_auc: 0.7229	test_accuracy: 0.7507	test_loss: nan	
test_auc: 0.7184	test_accuracy: 0.7452	test_loss: nan	
test_auc: 0.7333	test_accuracy: 0.7581	test_loss: nan	
test_auc: 0.7033	test_accuracy: 0.7337	test_loss: nan	
test_auc: 0.7161	test_accuracy: 0.7348	test_loss: nan	
test_auc: 0.7206	test_accuracy: 0.7360	test_loss: nan	
test_auc: 0.7150	test_accuracy: 0.7317	test_loss: nan	
test_auc: 0.7184	test_accuracy: 0.7397	test_loss: nan	
test_auc: 0.7150	test_accuracy: 0.7461	test_loss: nan	
test_auc: 0.7098	test_accuracy: 0.7330	test_loss: nan	
test_auc: 0.7197	test_accuracy: 0.7476	test_loss: nan	
test_auc: 0.7091	test_accuracy: 0.7469	test_loss: nan	
test_auc: 0.7177	test_accuracy: 0.7285	test_loss: nan	
test_auc: 0.7360	test_accuracy: 0.7512	test_loss: nan	
test_auc: 0.7159	test_accuracy: 0.7283	test_loss: nan	
test_auc: 0.7020	test_accuracy: 0.7244	test_loss: nan	
test_auc: 0.7183	test_accuracy: 0.7364	test_loss: nan	
test_auc: 0.7067	test_accuracy: 0.7305	test_loss: nan	
test_auc: 0.6751	test_accuracy: 0.7225	test_loss: nan	
test_auc: 0.7178	test_accuracy: 0.7299	test_loss: nan	
test_auc: 0.7156	test_accuracy: 0.7394	test_loss: nan	
test_auc: 0.7027	test_accuracy: 0.7281	test_loss: nan	
test_auc: 0.7127	test_accuracy: 0.7409	test_loss: nan	
test_auc: 0.6961	test_accuracy: 0.7175	test_loss: nan	
test_auc: 0.7130	test_accuracy: 0.7351	test_loss: nan	
test_auc: 0.7318	test_accuracy: 0.7473	test_loss: nan	
test_auc: 0.7177	test_accuracy: 0.7326	test_loss: nan	
test_auc: 0.7244	test_accuracy: 0.7209	test_loss: nan	
test_auc: 0.7080	test_accuracy: 0.7299	test_loss: nan	
test_auc: 0.7100	test_accuracy: 0.7357	test_loss: nan	
test_auc: 0.7265	test_accuracy: 0.7368	test_loss: nan	
test_auc: 0.6978	test_accuracy: 0.7328	test_loss: nan	
test_auc: 0.7194	test_accuracy: 0.7468	test_loss: nan	
test_auc: 0.6910	test_accuracy: 0.7218	test_loss: nan	
test_auc: 0.6980	test_accuracy: 0.7187	test_loss: nan	
test_auc: 0.7039	test_accuracy: 0.7308	test_loss: nan	
test_auc: 0.7222	test_accuracy: 0.7526	test_loss: nan	
test_auc: 0.7125	test_accuracy: 0.7464	test_loss: nan	
test_auc: 0.7185	test_accuracy: 0.7580	test_loss: nan	
test_auc: 0.6952	test_accuracy: 0.7290	test_loss: nan	
test_auc: 0.7257	test_accuracy: 0.7302	test_loss: nan	
test_auc: 0.7084	test_accuracy: 0.7378	test_loss: nan	
test_auc: 0.6920	test_accuracy: 0.7339	test_loss: nan	
test_auc: 0.7159	test_accuracy: 0.7392	test_loss: nan	
test_auc: 0.6970	test_accuracy: 0.7313	test_loss: nan	
test_auc: 0.7398	test_accuracy: 0.7538	test_loss: nan	
test_auc: 0.7143	test_accuracy: 0.7481	test_loss: nan	
test_auc: 0.6977	test_accuracy: 0.7199	test_loss: nan	
test_auc: 0.6749	test_accuracy: 0.7048	test_loss: nan	
test_auc: 0.6695	test_accuracy: 0.7171	test_loss: nan	
test_auc: 0.7053	test_accuracy: 0.7316	test_loss: nan	
test_auc: 0.6887	test_accuracy: 0.7164	test_loss: nan	
test_auc: 0.6760	test_accuracy: 0.7210	test_loss: nan	
test_auc: 0.7202	test_accuracy: 0.7115	test_loss: nan	
test_auc: 0.6894	test_accuracy: 0.7510	test_loss: nan	
test_auc: 0.7147	test_accuracy: 0.7327	test_loss: nan	
test_auc: 0.7162	test_accuracy: 0.7462	test_loss: nan	
test_auc: 0.7081	test_accuracy: 0.7231	test_loss: nan	
test_auc: 0.7002	test_accuracy: 0.7188	test_loss: nan	
test_auc: 0.6442	test_accuracy: 0.7042	test_loss: nan	
test_auc: 0.6993	test_accuracy: 0.7257	test_loss: nan	
