Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=3, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-AKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.48957, auc : 0.76520, accuracy : 0.76563
Epoch 1/20, valid auc : 0.80541, valid accuracy : 0.79498
0.0000 to 0.8054
test_auc: 0.6643	test_accuracy: 0.6574	test_loss: 0.6264	
0test_auc: 0.7005	test_accuracy: 0.7129	test_loss: 0.5682	
1test_auc: 0.8986	test_accuracy: 0.8646	test_loss: 0.3308	
2test_auc: 0.7917	test_accuracy: 0.7911	test_loss: 0.4590	
3test_auc: 0.7860	test_accuracy: 0.8005	test_loss: 0.4418	
4test_auc: 0.8502	test_accuracy: 0.8373	test_loss: 0.3779	
5test_auc: 0.8058	test_accuracy: 0.8018	test_loss: 0.4347	
6test_auc: 0.8203	test_accuracy: 0.8096	test_loss: 0.4207	
7test_auc: 0.8324	test_accuracy: 0.8261	test_loss: 0.3917	
8test_auc: 0.8116	test_accuracy: 0.8099	test_loss: 0.4254	
9test_auc: 0.8116	test_accuracy: 0.8058	test_loss: 0.4207	
10test_auc: 0.8208	test_accuracy: 0.8209	test_loss: 0.4016	
11test_auc: 0.8068	test_accuracy: 0.8015	test_loss: 0.4307	
12test_auc: 0.8023	test_accuracy: 0.8016	test_loss: 0.4343	
13test_auc: 0.8196	test_accuracy: 0.8069	test_loss: 0.4250	
14test_auc: 0.8079	test_accuracy: 0.8094	test_loss: nan	
15test_auc: 0.7995	test_accuracy: 0.8025	test_loss: nan	
16test_auc: 0.8110	test_accuracy: 0.8040	test_loss: nan	
17test_auc: 0.8130	test_accuracy: 0.7955	test_loss: nan	
18test_auc: 0.8217	test_accuracy: 0.8003	test_loss: nan	
19test_auc: 0.8249	test_accuracy: 0.7993	test_loss: nan	
20test_auc: 0.8159	test_accuracy: 0.7988	test_loss: nan	
21test_auc: 0.8001	test_accuracy: 0.7967	test_loss: nan	
22test_auc: 0.8279	test_accuracy: 0.8137	test_loss: nan	
23test_auc: 0.8128	test_accuracy: 0.8001	test_loss: nan	
24test_auc: 0.8193	test_accuracy: 0.7977	test_loss: nan	
25test_auc: 0.8067	test_accuracy: 0.7922	test_loss: nan	
26test_auc: 0.8210	test_accuracy: 0.8035	test_loss: nan	
27test_auc: 0.8161	test_accuracy: 0.7918	test_loss: nan	
28test_auc: 0.8020	test_accuracy: 0.7972	test_loss: nan	
29test_auc: 0.8066	test_accuracy: 0.7893	test_loss: nan	
30test_auc: 0.8255	test_accuracy: 0.7903	test_loss: nan	
31test_auc: 0.8209	test_accuracy: 0.7936	test_loss: nan	
32test_auc: 0.8178	test_accuracy: 0.7829	test_loss: nan	
33test_auc: 0.8079	test_accuracy: 0.7832	test_loss: nan	
34test_auc: 0.8272	test_accuracy: 0.7950	test_loss: nan	
35test_auc: 0.8113	test_accuracy: 0.7907	test_loss: nan	
36test_auc: 0.7982	test_accuracy: 0.7812	test_loss: nan	
37test_auc: 0.8222	test_accuracy: 0.7934	test_loss: nan	
38test_auc: 0.8130	test_accuracy: 0.8017	test_loss: nan	
39test_auc: 0.8134	test_accuracy: 0.7941	test_loss: nan	
40test_auc: 0.7959	test_accuracy: 0.7868	test_loss: nan	
41test_auc: 0.7945	test_accuracy: 0.7761	test_loss: nan	
42test_auc: 0.8112	test_accuracy: 0.7914	test_loss: nan	
43test_auc: 0.8094	test_accuracy: 0.7989	test_loss: nan	
44test_auc: 0.8212	test_accuracy: 0.7813	test_loss: nan	
45test_auc: 0.8120	test_accuracy: 0.7637	test_loss: nan	
46test_auc: 0.8098	test_accuracy: 0.7796	test_loss: nan	
47test_auc: 0.8042	test_accuracy: 0.7928	test_loss: nan	
48test_auc: 0.8185	test_accuracy: 0.7951	test_loss: nan	
49test_auc: 0.8026	test_accuracy: 0.7798	test_loss: nan	
50test_auc: 0.8024	test_accuracy: 0.7878	test_loss: nan	
51test_auc: 0.8085	test_accuracy: 0.7807	test_loss: nan	
52test_auc: 0.8149	test_accuracy: 0.7871	test_loss: nan	
53test_auc: 0.7975	test_accuracy: 0.7905	test_loss: nan	
54test_auc: 0.8019	test_accuracy: 0.8118	test_loss: nan	
55test_auc: 0.8106	test_accuracy: 0.8047	test_loss: nan	
56test_auc: 0.8067	test_accuracy: 0.7845	test_loss: nan	
57test_auc: 0.7917	test_accuracy: 0.7785	test_loss: nan	
58test_auc: 0.7955	test_accuracy: 0.7855	test_loss: nan	
59test_auc: 0.8186	test_accuracy: 0.7818	test_loss: nan	
60test_auc: 0.8122	test_accuracy: 0.8022	test_loss: nan	
61test_auc: 0.7917	test_accuracy: 0.7753	test_loss: nan	
62test_auc: 0.8181	test_accuracy: 0.7966	test_loss: nan	
63test_auc: 0.8108	test_accuracy: 0.7742	test_loss: nan	
64test_auc: 0.8253	test_accuracy: 0.8061	test_loss: nan	
65test_auc: 0.7714	test_accuracy: 0.7690	test_loss: nan	
66test_auc: 0.7779	test_accuracy: 0.7677	test_loss: nan	
67test_auc: 0.7876	test_accuracy: 0.7876	test_loss: nan	
68test_auc: 0.7985	test_accuracy: 0.7678	test_loss: nan	
69test_auc: 0.7974	test_accuracy: 0.7905	test_loss: nan	
70test_auc: 0.7763	test_accuracy: 0.7809	test_loss: nan	
71test_auc: 0.8195	test_accuracy: 0.7658	test_loss: nan	
72test_auc: 0.7745	test_accuracy: 0.7960	test_loss: nan	
73test_auc: 0.7861	test_accuracy: 0.7910	test_loss: nan	
74test_auc: 0.7896	test_accuracy: 0.7917	test_loss: nan	
75test_auc: 0.7934	test_accuracy: 0.7720	test_loss: nan	
76test_auc: 0.8060	test_accuracy: 0.7826	test_loss: nan	
77test_auc: 0.7597	test_accuracy: 0.7613	test_loss: nan	
78test_auc: 0.7982	test_accuracy: 0.7720	test_loss: nan	
79test_auc: 0.8373	test_accuracy: 0.8063	test_loss: nan	
80test_auc: 0.8242	test_accuracy: 0.8122	test_loss: nan	
81test_auc: 0.8318	test_accuracy: 0.7861	test_loss: nan	
82test_auc: 0.7845	test_accuracy: 0.7738	test_loss: nan	
83test_auc: 0.8233	test_accuracy: 0.7791	test_loss: nan	
84test_auc: 0.8459	test_accuracy: 0.8000	test_loss: nan	
85test_auc: 0.7928	test_accuracy: 0.8089	test_loss: nan	
86test_auc: 0.8204	test_accuracy: 0.8125	test_loss: nan	
87test_auc: 0.8058	test_accuracy: 0.7683	test_loss: nan	
88test_auc: 0.7853	test_accuracy: 0.7773	test_loss: nan	
89test_auc: 0.7965	test_accuracy: 0.7830	test_loss: nan	
90test_auc: 0.8212	test_accuracy: 0.7766	test_loss: nan	
91test_auc: 0.7535	test_accuracy: 0.7538	test_loss: nan	
92test_auc: 0.7749	test_accuracy: 0.7621	test_loss: nan	
93test_auc: 0.7913	test_accuracy: 0.7879	test_loss: nan	
94test_auc: 0.7670	test_accuracy: 0.7540	test_loss: nan	
95test_auc: 0.7391	test_accuracy: 0.7336	test_loss: nan	
96test_auc: 0.7856	test_accuracy: 0.7553	test_loss: nan	
97test_auc: 0.8315	test_accuracy: 0.7971	test_loss: nan	
98test_auc: 0.8322	test_accuracy: 0.7877	test_loss: nan	
