Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-RKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.51673, auc : 0.78821, accuracy : 0.75060
Epoch 1/20, valid auc : 0.85818, valid accuracy : 0.79637
0.0000 to 0.8582
test_auc: 0.5996	test_accuracy: 0.5808	test_loss: 0.6788	
0test_auc: 0.8159	test_accuracy: 0.7500	test_loss: 0.5198	
1test_auc: 0.7997	test_accuracy: 0.7765	test_loss: 0.4904	
2test_auc: 0.8799	test_accuracy: 0.8312	test_loss: 0.3933	
3test_auc: 0.8518	test_accuracy: 0.8196	test_loss: 0.4287	
4test_auc: 0.8604	test_accuracy: 0.8114	test_loss: 0.4202	
5test_auc: 0.8473	test_accuracy: 0.7958	test_loss: 0.4498	
6test_auc: 0.8804	test_accuracy: 0.8140	test_loss: 0.3957	
7test_auc: 0.8480	test_accuracy: 0.7943	test_loss: 0.4546	
8test_auc: 0.9013	test_accuracy: 0.8408	test_loss: 0.3818	
9test_auc: 0.8547	test_accuracy: 0.8007	test_loss: 0.4447	
10test_auc: 0.8464	test_accuracy: 0.7902	test_loss: 0.4500	
11test_auc: 0.8566	test_accuracy: 0.8100	test_loss: 0.4323	
12test_auc: 0.8677	test_accuracy: 0.8132	test_loss: 0.4113	
13test_auc: 0.8753	test_accuracy: 0.8182	test_loss: 0.4392	
14test_auc: 0.8591	test_accuracy: 0.7994	test_loss: 0.4558	
15test_auc: 0.8559	test_accuracy: 0.7715	test_loss: 0.4748	
16test_auc: 0.8783	test_accuracy: 0.8019	test_loss: 0.4077	
17test_auc: 0.8613	test_accuracy: 0.7877	test_loss: 0.4587	
