Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=2, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-LSTMA', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.51439, auc : 0.79334, accuracy : 0.74800
Epoch 1/20, valid auc : 0.84516, valid accuracy : 0.78151
0.0000 to 0.8452
test_auc: 0.5998	test_accuracy: 0.5686	test_loss: 0.6827	
0test_auc: 0.8110	test_accuracy: 0.7465	test_loss: 0.5226	
1test_auc: 0.7813	test_accuracy: 0.7700	test_loss: 0.5179	
2test_auc: 0.8573	test_accuracy: 0.8261	test_loss: 0.4226	
3test_auc: 0.8370	test_accuracy: 0.7889	test_loss: 0.4555	
4test_auc: 0.8512	test_accuracy: 0.7989	test_loss: 0.4372	
5test_auc: 0.8324	test_accuracy: 0.7854	test_loss: 0.4677	
6test_auc: 0.8682	test_accuracy: 0.8058	test_loss: 0.4143	
7test_auc: 0.8285	test_accuracy: 0.7683	test_loss: 0.4731	
8test_auc: 0.8934	test_accuracy: 0.8227	test_loss: 0.3947	
9test_auc: 0.8394	test_accuracy: 0.7927	test_loss: 0.4621	
10test_auc: 0.8259	test_accuracy: 0.7675	test_loss: 0.4740	
11test_auc: 0.8313	test_accuracy: 0.7836	test_loss: 0.4645	
12test_auc: 0.8626	test_accuracy: 0.7960	test_loss: 0.4236	
13test_auc: 0.8504	test_accuracy: 0.7918	test_loss: 0.4696	
14test_auc: 0.8482	test_accuracy: 0.7894	test_loss: 0.4672	
15test_auc: 0.8440	test_accuracy: 0.7818	test_loss: 0.4855	
16test_auc: 0.8666	test_accuracy: 0.8008	test_loss: 0.4241	
17test_auc: 0.8513	test_accuracy: 0.7845	test_loss: 0.4659	
18test_auc: 0.8556	test_accuracy: 0.7843	test_loss: 0.4921	
19test_auc: 0.8486	test_accuracy: 0.7855	test_loss: nan	
20test_auc: 0.8558	test_accuracy: 0.7943	test_loss: nan	
21test_auc: 0.8304	test_accuracy: 0.7792	test_loss: nan	
22test_auc: 0.8580	test_accuracy: 0.7909	test_loss: nan	
