Namespace(batch_size=32, data_dir='./data/assist2015', data_name='assist2015', dataset_type='assist2015', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2015', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='LSTMA', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2015', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.55991, auc : 0.63561, accuracy : 0.73116
Epoch 1/20, valid auc : 0.65825, valid accuracy : 0.74014
0.0000 to 0.6583
test_auc: 0.6485	test_accuracy: 0.7330	test_loss: nan	
test_auc: 0.6796	test_accuracy: 0.7357	test_loss: nan	
test_auc: 0.6801	test_accuracy: 0.7297	test_loss: nan	
test_auc: 0.6713	test_accuracy: 0.7477	test_loss: nan	
test_auc: 0.6150	test_accuracy: 0.7367	test_loss: nan	
test_auc: 0.6660	test_accuracy: 0.7452	test_loss: nan	
test_auc: 0.6807	test_accuracy: 0.7396	test_loss: nan	
test_auc: 0.6999	test_accuracy: 0.7282	test_loss: nan	
test_auc: 0.6403	test_accuracy: 0.7035	test_loss: nan	
test_auc: 0.6487	test_accuracy: 0.7063	test_loss: nan	
test_auc: 0.6691	test_accuracy: 0.7004	test_loss: nan	
test_auc: 0.5870	test_accuracy: 0.7388	test_loss: nan	
test_auc: 0.6003	test_accuracy: 0.6948	test_loss: nan	
test_auc: 0.6624	test_accuracy: 0.6916	test_loss: nan	
test_auc: 0.6339	test_accuracy: 0.7078	test_loss: nan	
test_auc: 0.6596	test_accuracy: 0.7126	test_loss: nan	
test_auc: 0.5995	test_accuracy: 0.7185	test_loss: nan	
test_auc: 0.6061	test_accuracy: 0.6977	test_loss: nan	
test_auc: 0.6824	test_accuracy: 0.7179	test_loss: nan	
test_auc: 0.6070	test_accuracy: 0.7441	test_loss: nan	
test_auc: 0.6968	test_accuracy: 0.7255	test_loss: nan	
test_auc: 0.6835	test_accuracy: 0.6972	test_loss: nan	
test_auc: 0.7009	test_accuracy: 0.7304	test_loss: nan	
test_auc: 0.6337	test_accuracy: 0.6667	test_loss: nan	
test_auc: 0.6206	test_accuracy: 0.7212	test_loss: nan	
test_auc: 0.5919	test_accuracy: 0.6803	test_loss: nan	
test_auc: 0.6415	test_accuracy: 0.6883	test_loss: nan	
test_auc: 0.6778	test_accuracy: 0.6213	test_loss: nan	
test_auc: 0.7339	test_accuracy: 0.7248	test_loss: nan	
test_auc: 0.6941	test_accuracy: 0.7197	test_loss: nan	
test_auc: 0.5916	test_accuracy: 0.6762	test_loss: nan	
test_auc: 0.6456	test_accuracy: 0.7080	test_loss: nan	
test_auc: 0.6319	test_accuracy: 0.6801	test_loss: nan	
test_auc: 0.6822	test_accuracy: 0.7388	test_loss: nan	
test_auc: 0.6009	test_accuracy: 0.6540	test_loss: nan	
test_auc: 0.6874	test_accuracy: 0.7645	test_loss: nan	
test_auc: 0.6732	test_accuracy: 0.7024	test_loss: nan	
test_auc: 0.6828	test_accuracy: 0.7126	test_loss: nan	
test_auc: 0.6566	test_accuracy: 0.7479	test_loss: nan	
test_auc: 0.6579	test_accuracy: 0.7304	test_loss: nan	
test_auc: 0.5880	test_accuracy: 0.7857	test_loss: nan	
test_auc: 0.6192	test_accuracy: 0.6682	test_loss: nan	
test_auc: 0.6200	test_accuracy: 0.6944	test_loss: nan	
test_auc: 0.7008	test_accuracy: 0.7109	test_loss: nan	
test_auc: 0.7072	test_accuracy: 0.7416	test_loss: nan	
test_auc: 0.6314	test_accuracy: 0.7635	test_loss: nan	
test_auc: 0.6405	test_accuracy: 0.6802	test_loss: nan	
test_auc: 0.6509	test_accuracy: 0.7296	test_loss: nan	
test_auc: 0.7196	test_accuracy: 0.7037	test_loss: nan	
test_auc: 0.6180	test_accuracy: 0.7287	test_loss: nan	
