Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=0, gpu=0, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='FINER-DKVMN', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.47547, auc : 0.81578, accuracy : 0.76503
Epoch 1/20, valid auc : 0.87682, valid accuracy : 0.80841
0.0000 to 0.8768
test_auc: 0.6075	test_accuracy: 0.5346	test_loss: 0.6936	
79test_auc: 0.8751	test_accuracy: 0.8355	test_loss: nan	
80test_auc: 0.8663	test_accuracy: 0.8134	test_loss: nan	
81test_auc: 0.8645	test_accuracy: 0.8088	test_loss: nan	
82test_auc: 0.8590	test_accuracy: 0.7973	test_loss: nan	
83test_auc: 0.8741	test_accuracy: 0.8375	test_loss: nan	
84test_auc: 0.8468	test_accuracy: 0.8009	test_loss: nan	
85test_auc: 0.8962	test_accuracy: 0.8307	test_loss: nan	
86test_auc: 0.8376	test_accuracy: 0.7765	test_loss: nan	
87test_auc: 0.8979	test_accuracy: 0.8522	test_loss: nan	
88test_auc: 0.8438	test_accuracy: 0.7827	test_loss: nan	
89test_auc: 0.8861	test_accuracy: 0.8267	test_loss: nan	
90test_auc: 0.8692	test_accuracy: 0.8019	test_loss: nan	
91test_auc: 0.8656	test_accuracy: 0.7743	test_loss: nan	
92test_auc: 0.8655	test_accuracy: 0.7986	test_loss: nan	
93test_auc: 0.8872	test_accuracy: 0.8261	test_loss: nan	
94test_auc: 0.8585	test_accuracy: 0.7762	test_loss: nan	
95test_auc: 0.8899	test_accuracy: 0.8244	test_loss: nan	
96test_auc: 0.8813	test_accuracy: 0.7877	test_loss: nan	
97test_auc: 0.8704	test_accuracy: 0.8164	test_loss: nan	
98test_auc: 0.8760	test_accuracy: 0.8150	test_loss: nan	
99test_auc: 0.8775	test_accuracy: 0.8191	test_loss: nan	
100test_auc: 0.8576	test_accuracy: 0.7965	test_loss: nan	
101test_auc: 0.8733	test_accuracy: 0.8005	test_loss: nan	
102test_auc: 0.8475	test_accuracy: 0.7873	test_loss: nan	
103test_auc: 0.8730	test_accuracy: 0.8031	test_loss: nan	
104test_auc: 0.8569	test_accuracy: 0.7758	test_loss: nan	
105test_auc: 0.8881	test_accuracy: 0.8208	test_loss: nan	
106test_auc: 0.8714	test_accuracy: 0.8099	test_loss: nan	
107test_auc: 0.8702	test_accuracy: 0.8115	test_loss: nan	
108test_auc: 0.8466	test_accuracy: 0.7769	test_loss: nan	
109test_auc: 0.9069	test_accuracy: 0.8522	test_loss: nan	
110test_auc: 0.8363	test_accuracy: 0.8011	test_loss: nan	
111test_auc: 0.8892	test_accuracy: 0.8400	test_loss: nan	
112test_auc: 0.8557	test_accuracy: 0.7888	test_loss: nan	
113test_auc: 0.9082	test_accuracy: 0.8172	test_loss: nan	
114test_auc: 0.8472	test_accuracy: 0.7634	test_loss: nan	
115test_auc: 0.8993	test_accuracy: 0.8447	test_loss: nan	
116test_auc: 0.8825	test_accuracy: 0.8060	test_loss: nan	
117test_auc: 0.8749	test_accuracy: 0.8022	test_loss: nan	
118test_auc: 0.8954	test_accuracy: 0.8453	test_loss: nan	
119test_auc: 0.9078	test_accuracy: 0.8449	test_loss: nan	
120test_auc: 0.8489	test_accuracy: 0.7972	test_loss: nan	
121test_auc: 0.8810	test_accuracy: 0.8139	test_loss: nan	
122test_auc: 0.8987	test_accuracy: 0.8655	test_loss: nan	
123test_auc: 0.9065	test_accuracy: 0.8483	test_loss: nan	
124test_auc: 0.8494	test_accuracy: 0.7978	test_loss: nan	
125test_auc: 0.8768	test_accuracy: 0.8011	test_loss: nan	
126test_auc: 0.8709	test_accuracy: 0.7955	test_loss: nan	
127test_auc: 0.9101	test_accuracy: 0.8376	test_loss: nan	
128test_auc: 0.8669	test_accuracy: 0.8114	test_loss: nan	
129test_auc: 0.8909	test_accuracy: 0.8286	test_loss: nan	
130test_auc: 0.8716	test_accuracy: 0.7931	test_loss: nan	
131test_auc: 0.8690	test_accuracy: 0.7874	test_loss: nan	
132test_auc: 0.8474	test_accuracy: 0.7890	test_loss: nan	
133test_auc: 0.8884	test_accuracy: 0.8110	test_loss: nan	
134test_auc: 0.8785	test_accuracy: 0.8129	test_loss: nan	
135test_auc: 0.8778	test_accuracy: 0.8206	test_loss: nan	
136test_auc: 0.8561	test_accuracy: 0.8077	test_loss: nan	
137test_auc: 0.8965	test_accuracy: 0.8304	test_loss: nan	
138test_auc: 0.9125	test_accuracy: 0.8567	test_loss: nan	
139test_auc: 0.8704	test_accuracy: 0.8012	test_loss: nan	
140test_auc: 0.8794	test_accuracy: 0.8242	test_loss: nan	
141test_auc: 0.8939	test_accuracy: 0.8116	test_loss: nan	
142test_auc: 0.8765	test_accuracy: 0.8313	test_loss: nan	
143test_auc: 0.8893	test_accuracy: 0.8650	test_loss: nan	
144test_auc: 0.8818	test_accuracy: 0.8431	test_loss: nan	
145test_auc: 0.8890	test_accuracy: 0.8385	test_loss: nan	
146test_auc: 0.8712	test_accuracy: 0.8219	test_loss: nan	
147test_auc: 0.9153	test_accuracy: 0.8527	test_loss: nan	
148test_auc: 0.8853	test_accuracy: 0.8418	test_loss: nan	
149test_auc: 0.8952	test_accuracy: 0.8237	test_loss: nan	
150test_auc: 0.8638	test_accuracy: 0.8258	test_loss: nan	
151test_auc: 0.8960	test_accuracy: 0.8323	test_loss: nan	
152test_auc: 0.8646	test_accuracy: 0.8155	test_loss: nan	
153test_auc: 0.8902	test_accuracy: 0.8371	test_loss: nan	
154test_auc: 0.8796	test_accuracy: 0.8197	test_loss: nan	
155test_auc: 0.8911	test_accuracy: 0.8553	test_loss: nan	
156test_auc: 0.8885	test_accuracy: 0.8400	test_loss: nan	
157test_auc: 0.8981	test_accuracy: 0.8495	test_loss: nan	
158test_auc: 0.8835	test_accuracy: 0.8283	test_loss: nan	
159test_auc: 0.8954	test_accuracy: 0.8542	test_loss: nan	
160test_auc: 0.8868	test_accuracy: 0.8610	test_loss: nan	
161test_auc: 0.8665	test_accuracy: 0.8000	test_loss: nan	
162test_auc: 0.8857	test_accuracy: 0.8333	test_loss: nan	
163test_auc: 0.8428	test_accuracy: 0.8299	test_loss: nan	
164test_auc: 0.8926	test_accuracy: 0.8639	test_loss: nan	
165test_auc: 0.8904	test_accuracy: 0.8483	test_loss: nan	
166test_auc: 0.8692	test_accuracy: 0.8345	test_loss: nan	
167test_auc: 0.9074	test_accuracy: 0.8443	test_loss: nan	
168test_auc: 0.9143	test_accuracy: 0.8616	test_loss: nan	
169test_auc: 0.8970	test_accuracy: 0.8194	test_loss: nan	
170test_auc: 0.8728	test_accuracy: 0.8182	test_loss: nan	
171test_auc: 0.8970	test_accuracy: 0.8281	test_loss: nan	
172test_auc: 0.8504	test_accuracy: 0.8014	test_loss: nan	
173test_auc: 0.9210	test_accuracy: 0.8826	test_loss: nan	
174test_auc: 0.8980	test_accuracy: 0.8536	test_loss: nan	
175test_auc: 0.8550	test_accuracy: 0.8303	test_loss: nan	
176test_auc: 0.8433	test_accuracy: 0.8014	test_loss: nan	
177test_auc: 0.8648	test_accuracy: 0.8080	test_loss: nan	
178test_auc: 0.9068	test_accuracy: 0.8248	test_loss: nan	
179test_auc: 0.8633	test_accuracy: 0.8132	test_loss: nan	
180test_auc: 0.9190	test_accuracy: 0.8419	test_loss: nan	
181test_auc: 0.8628	test_accuracy: 0.8481	test_loss: nan	
182test_auc: 0.8375	test_accuracy: 0.8134	test_loss: nan	
183test_auc: 0.8532	test_accuracy: 0.8209	test_loss: nan	
184test_auc: 0.8964	test_accuracy: 0.8075	test_loss: nan	
185test_auc: 0.8585	test_accuracy: 0.8302	test_loss: nan	
186test_auc: 0.9049	test_accuracy: 0.8447	test_loss: nan	
187test_auc: 0.8417	test_accuracy: 0.8161	test_loss: nan	
188test_auc: 0.8337	test_accuracy: 0.7930	test_loss: nan	
189test_auc: 0.8724	test_accuracy: 0.8431	test_loss: nan	
190test_auc: 0.8864	test_accuracy: 0.8379	test_loss: nan	
191test_auc: 0.8393	test_accuracy: 0.8240	test_loss: nan	
192test_auc: 0.8495	test_accuracy: 0.7840	test_loss: nan	
193test_auc: 0.8728	test_accuracy: 0.8105	test_loss: nan	
194test_auc: 0.8987	test_accuracy: 0.8381	test_loss: nan	
195test_auc: 0.8702	test_accuracy: 0.8340	test_loss: nan	
196test_auc: 0.9024	test_accuracy: 0.8537	test_loss: nan	
197test_auc: 0.8255	test_accuracy: 0.7602	test_loss: nan	
