Namespace(batch_size=32, data_dir='./data/assist2009', data_name='assist2009', dataset_type='assist2009', decay_epoch=20, final_fc_dim=100, final_lr=1e-05, future_sequence_len=2, generate_files=1, gpu=1, init_lr=0.01, init_std=0.1, learning_trend_embed_dim=200, load='assist2009', lr=0.01, lr_decay=0, max_iter=20, maxgradnorm=50.0, memory_key_state_dim=50, memory_size=20, memory_value_state_dim=200, model_type='DKT', momentum=0.9, n_question=110, num_attention_heads=4, picture=1, q_embed_dim=50, qa_embed_dim=200, read_dim=100, save='assist2009', seed=1, seqlen=200, show=True, similar_user_num=2, test=False, train_test=0, wd=5e-05)Epoch 1/20, loss : 0.54453, auc : 0.74614, accuracy : 0.73477
Epoch 1/20, valid auc : 0.79575, valid accuracy : 0.75417
0.0000 to 0.7958
test_auc: 0.6289	test_accuracy: 0.5971	test_loss: 0.6618	
test_auc: 0.8115	test_accuracy: 0.7458	test_loss: 0.5158	
test_auc: 0.7231	test_accuracy: 0.7080	test_loss: 0.5657	
test_auc: 0.7968	test_accuracy: 0.7642	test_loss: 0.4958	
test_auc: 0.7437	test_accuracy: 0.7485	test_loss: 0.5312	
test_auc: 0.7915	test_accuracy: 0.7670	test_loss: 0.4962	
test_auc: 0.7678	test_accuracy: 0.7558	test_loss: 0.5304	
test_auc: 0.8083	test_accuracy: 0.7758	test_loss: 0.4758	
test_auc: 0.7825	test_accuracy: 0.7414	test_loss: 0.5204	
test_auc: 0.8098	test_accuracy: 0.7642	test_loss: 0.4923	
test_auc: 0.7826	test_accuracy: 0.7456	test_loss: 0.5189	
test_auc: 0.7835	test_accuracy: 0.7411	test_loss: 0.5080	
test_auc: 0.7716	test_accuracy: 0.7535	test_loss: 0.5113	
test_auc: 0.7990	test_accuracy: 0.7586	test_loss: 0.5022	
test_auc: 0.7946	test_accuracy: 0.7674	test_loss: 0.5131	
test_auc: 0.7810	test_accuracy: 0.7285	test_loss: 0.5324	
test_auc: 0.7858	test_accuracy: 0.7377	test_loss: 0.5351	
test_auc: 0.8118	test_accuracy: 0.7424	test_loss: 0.5034	
test_auc: 0.7882	test_accuracy: 0.7378	test_loss: 0.5347	
test_auc: 0.7947	test_accuracy: 0.7309	test_loss: 0.5338	
test_auc: 0.8125	test_accuracy: 0.7520	test_loss: nan	
test_auc: 0.8080	test_accuracy: 0.7420	test_loss: nan	
test_auc: 0.7663	test_accuracy: 0.7266	test_loss: nan	
test_auc: 0.8203	test_accuracy: 0.7476	test_loss: nan	
test_auc: 0.8171	test_accuracy: 0.7643	test_loss: nan	
test_auc: 0.8190	test_accuracy: 0.7670	test_loss: nan	
test_auc: 0.7785	test_accuracy: 0.7447	test_loss: nan	
test_auc: 0.7973	test_accuracy: 0.7475	test_loss: nan	
test_auc: 0.7962	test_accuracy: 0.7575	test_loss: nan	
test_auc: 0.8065	test_accuracy: 0.7625	test_loss: nan	
test_auc: 0.7995	test_accuracy: 0.7470	test_loss: nan	
test_auc: 0.7996	test_accuracy: 0.7614	test_loss: nan	
test_auc: 0.8042	test_accuracy: 0.7693	test_loss: nan	
test_auc: 0.8123	test_accuracy: 0.7622	test_loss: nan	
test_auc: 0.7993	test_accuracy: 0.7631	test_loss: nan	
test_auc: 0.7712	test_accuracy: 0.7122	test_loss: nan	
test_auc: 0.7904	test_accuracy: 0.7623	test_loss: nan	
test_auc: 0.7997	test_accuracy: 0.7623	test_loss: nan	
test_auc: 0.7682	test_accuracy: 0.7296	test_loss: nan	
test_auc: 0.7854	test_accuracy: 0.7248	test_loss: nan	
test_auc: 0.7862	test_accuracy: 0.7496	test_loss: nan	
test_auc: 0.7949	test_accuracy: 0.7492	test_loss: nan	
test_auc: 0.7875	test_accuracy: 0.7647	test_loss: nan	
test_auc: 0.7812	test_accuracy: 0.7327	test_loss: nan	
test_auc: 0.7895	test_accuracy: 0.7664	test_loss: nan	
test_auc: 0.7720	test_accuracy: 0.7342	test_loss: nan	
test_auc: 0.7750	test_accuracy: 0.7208	test_loss: nan	
test_auc: 0.7991	test_accuracy: 0.7509	test_loss: nan	
test_auc: 0.8065	test_accuracy: 0.7582	test_loss: nan	
test_auc: 0.8198	test_accuracy: 0.7675	test_loss: nan	
test_auc: 0.7888	test_accuracy: 0.7553	test_loss: nan	
test_auc: 0.8012	test_accuracy: 0.7669	test_loss: nan	
test_auc: 0.7855	test_accuracy: 0.7744	test_loss: nan	
test_auc: 0.8085	test_accuracy: 0.7909	test_loss: nan	
test_auc: 0.7786	test_accuracy: 0.7500	test_loss: nan	
test_auc: 0.7810	test_accuracy: 0.7500	test_loss: nan	
test_auc: 0.7880	test_accuracy: 0.7626	test_loss: nan	
test_auc: 0.7821	test_accuracy: 0.7561	test_loss: nan	
test_auc: 0.8122	test_accuracy: 0.7723	test_loss: nan	
test_auc: 0.8239	test_accuracy: 0.7848	test_loss: nan	
test_auc: 0.7870	test_accuracy: 0.7514	test_loss: nan	
test_auc: 0.7679	test_accuracy: 0.7670	test_loss: nan	
test_auc: 0.7980	test_accuracy: 0.7305	test_loss: nan	
test_auc: 0.7767	test_accuracy: 0.7397	test_loss: nan	
test_auc: 0.7862	test_accuracy: 0.7859	test_loss: nan	
test_auc: 0.7610	test_accuracy: 0.7307	test_loss: nan	
test_auc: 0.7492	test_accuracy: 0.7325	test_loss: nan	
test_auc: 0.7700	test_accuracy: 0.7621	test_loss: nan	
test_auc: 0.7622	test_accuracy: 0.7440	test_loss: nan	
test_auc: 0.7939	test_accuracy: 0.7591	test_loss: nan	
test_auc: 0.7803	test_accuracy: 0.7878	test_loss: nan	
test_auc: 0.7615	test_accuracy: 0.7362	test_loss: nan	
test_auc: 0.7718	test_accuracy: 0.7181	test_loss: nan	
test_auc: 0.7943	test_accuracy: 0.7681	test_loss: nan	
test_auc: 0.7747	test_accuracy: 0.7474	test_loss: nan	
test_auc: 0.7723	test_accuracy: 0.7191	test_loss: nan	
test_auc: 0.7841	test_accuracy: 0.7547	test_loss: nan	
test_auc: 0.7709	test_accuracy: 0.7347	test_loss: nan	
test_auc: 0.8009	test_accuracy: 0.7679	test_loss: nan	
test_auc: 0.8044	test_accuracy: 0.7806	test_loss: nan	
test_auc: 0.7965	test_accuracy: 0.7727	test_loss: nan	
test_auc: 0.7629	test_accuracy: 0.7289	test_loss: nan	
test_auc: 0.8068	test_accuracy: 0.7736	test_loss: nan	
test_auc: 0.7552	test_accuracy: 0.7283	test_loss: nan	
test_auc: 0.7611	test_accuracy: 0.7607	test_loss: nan	
test_auc: 0.7386	test_accuracy: 0.7195	test_loss: nan	
test_auc: 0.8051	test_accuracy: 0.7735	test_loss: nan	
test_auc: 0.7528	test_accuracy: 0.7327	test_loss: nan	
test_auc: 0.7874	test_accuracy: 0.7506	test_loss: nan	
test_auc: 0.7409	test_accuracy: 0.7103	test_loss: nan	
test_auc: 0.7715	test_accuracy: 0.7447	test_loss: nan	
test_auc: 0.7943	test_accuracy: 0.7524	test_loss: nan	
test_auc: 0.7957	test_accuracy: 0.7553	test_loss: nan	
test_auc: 0.8020	test_accuracy: 0.7434	test_loss: nan	
test_auc: 0.7850	test_accuracy: 0.7343	test_loss: nan	
test_auc: 0.7755	test_accuracy: 0.7129	test_loss: nan	
test_auc: 0.8071	test_accuracy: 0.7585	test_loss: nan	
test_auc: 0.7660	test_accuracy: 0.7333	test_loss: nan	
test_auc: 0.7627	test_accuracy: 0.7370	test_loss: nan	
test_auc: 0.7709	test_accuracy: 0.7300	test_loss: nan	
test_auc: 0.7817	test_accuracy: 0.7638	test_loss: nan	
test_auc: 0.7641	test_accuracy: 0.7337	test_loss: nan	
test_auc: 0.8089	test_accuracy: 0.7702	test_loss: nan	
test_auc: 0.7632	test_accuracy: 0.7316	test_loss: nan	
test_auc: 0.7695	test_accuracy: 0.7519	test_loss: nan	
test_auc: 0.7811	test_accuracy: 0.7320	test_loss: nan	
test_auc: 0.7974	test_accuracy: 0.7896	test_loss: nan	
test_auc: 0.7729	test_accuracy: 0.7474	test_loss: nan	
test_auc: 0.7683	test_accuracy: 0.7225	test_loss: nan	
test_auc: 0.7508	test_accuracy: 0.7375	test_loss: nan	
test_auc: 0.8011	test_accuracy: 0.7652	test_loss: nan	
test_auc: 0.6993	test_accuracy: 0.7215	test_loss: nan	
test_auc: 0.7955	test_accuracy: 0.7680	test_loss: nan	
test_auc: 0.7768	test_accuracy: 0.7273	test_loss: nan	
test_auc: 0.7729	test_accuracy: 0.7285	test_loss: nan	
test_auc: 0.7640	test_accuracy: 0.7366	test_loss: nan	
test_auc: 0.7805	test_accuracy: 0.7629	test_loss: nan	
test_auc: 0.7878	test_accuracy: 0.7514	test_loss: nan	
test_auc: 0.8174	test_accuracy: 0.7802	test_loss: nan	
test_auc: 0.7731	test_accuracy: 0.7624	test_loss: nan	
test_auc: 0.7983	test_accuracy: 0.7756	test_loss: nan	
test_auc: 0.7747	test_accuracy: 0.7472	test_loss: nan	
test_auc: 0.8119	test_accuracy: 0.8111	test_loss: nan	
test_auc: 0.7823	test_accuracy: 0.7759	test_loss: nan	
test_auc: 0.7514	test_accuracy: 0.7135	test_loss: nan	
test_auc: 0.7764	test_accuracy: 0.7556	test_loss: nan	
test_auc: 0.7650	test_accuracy: 0.7330	test_loss: nan	
test_auc: 0.8039	test_accuracy: 0.7443	test_loss: nan	
test_auc: 0.8008	test_accuracy: 0.7664	test_loss: nan	
test_auc: 0.7988	test_accuracy: 0.7629	test_loss: nan	
test_auc: 0.8186	test_accuracy: 0.7771	test_loss: nan	
test_auc: 0.7793	test_accuracy: 0.7385	test_loss: nan	
test_auc: 0.7933	test_accuracy: 0.7644	test_loss: nan	
test_auc: 0.7790	test_accuracy: 0.7746	test_loss: nan	
test_auc: 0.8261	test_accuracy: 0.7587	test_loss: nan	
test_auc: 0.8203	test_accuracy: 0.7719	test_loss: nan	
test_auc: 0.7772	test_accuracy: 0.7618	test_loss: nan	
test_auc: 0.7747	test_accuracy: 0.7515	test_loss: nan	
test_auc: 0.7715	test_accuracy: 0.7619	test_loss: nan	
test_auc: 0.8079	test_accuracy: 0.8000	test_loss: nan	
test_auc: 0.7776	test_accuracy: 0.7590	test_loss: nan	
test_auc: 0.8025	test_accuracy: 0.7515	test_loss: nan	
test_auc: 0.8078	test_accuracy: 0.7781	test_loss: nan	
test_auc: 0.7954	test_accuracy: 0.7791	test_loss: nan	
test_auc: 0.8122	test_accuracy: 0.7822	test_loss: nan	
test_auc: 0.7850	test_accuracy: 0.7754	test_loss: nan	
test_auc: 0.8012	test_accuracy: 0.7888	test_loss: nan	
test_auc: 0.7667	test_accuracy: 0.7594	test_loss: nan	
test_auc: 0.8223	test_accuracy: 0.7806	test_loss: nan	
test_auc: 0.8191	test_accuracy: 0.7880	test_loss: nan	
test_auc: 0.8042	test_accuracy: 0.7756	test_loss: nan	
test_auc: 0.7702	test_accuracy: 0.7806	test_loss: nan	
test_auc: 0.8191	test_accuracy: 0.7710	test_loss: nan	
test_auc: 0.7378	test_accuracy: 0.7605	test_loss: nan	
test_auc: 0.7779	test_accuracy: 0.7590	test_loss: nan	
test_auc: 0.8009	test_accuracy: 0.7705	test_loss: nan	
test_auc: 0.8285	test_accuracy: 0.8125	test_loss: nan	
test_auc: 0.8072	test_accuracy: 0.7833	test_loss: nan	
test_auc: 0.8296	test_accuracy: 0.8127	test_loss: nan	
test_auc: 0.8279	test_accuracy: 0.7879	test_loss: nan	
test_auc: 0.8210	test_accuracy: 0.8305	test_loss: nan	
test_auc: 0.8219	test_accuracy: 0.7966	test_loss: nan	
test_auc: 0.8173	test_accuracy: 0.7627	test_loss: nan	
test_auc: 0.7754	test_accuracy: 0.7279	test_loss: nan	
test_auc: 0.7876	test_accuracy: 0.7823	test_loss: nan	
test_auc: 0.8049	test_accuracy: 0.7959	test_loss: nan	
test_auc: 0.7849	test_accuracy: 0.7759	test_loss: nan	
test_auc: 0.7758	test_accuracy: 0.7552	test_loss: nan	
test_auc: 0.8548	test_accuracy: 0.8201	test_loss: nan	
test_auc: 0.8121	test_accuracy: 0.7924	test_loss: nan	
test_auc: 0.8237	test_accuracy: 0.7986	test_loss: nan	
test_auc: 0.7896	test_accuracy: 0.7552	test_loss: nan	
test_auc: 0.8202	test_accuracy: 0.7789	test_loss: nan	
test_auc: 0.7860	test_accuracy: 0.7340	test_loss: nan	
test_auc: 0.8080	test_accuracy: 0.7473	test_loss: nan	
test_auc: 0.8296	test_accuracy: 0.8000	test_loss: nan	
test_auc: 0.7414	test_accuracy: 0.7509	test_loss: nan	
test_auc: 0.7966	test_accuracy: 0.7473	test_loss: nan	
test_auc: 0.7925	test_accuracy: 0.7391	test_loss: nan	
test_auc: 0.7938	test_accuracy: 0.7482	test_loss: nan	
test_auc: 0.7913	test_accuracy: 0.7729	test_loss: nan	
test_auc: 0.7920	test_accuracy: 0.7537	test_loss: nan	
test_auc: 0.7887	test_accuracy: 0.7704	test_loss: nan	
test_auc: 0.7840	test_accuracy: 0.7537	test_loss: nan	
test_auc: 0.7713	test_accuracy: 0.7948	test_loss: nan	
test_auc: 0.7949	test_accuracy: 0.7472	test_loss: nan	
test_auc: 0.7820	test_accuracy: 0.7623	test_loss: nan	
test_auc: 0.7963	test_accuracy: 0.7727	test_loss: nan	
test_auc: 0.7816	test_accuracy: 0.7625	test_loss: nan	
test_auc: 0.7974	test_accuracy: 0.7812	test_loss: nan	
test_auc: 0.8228	test_accuracy: 0.8000	test_loss: nan	
test_auc: 0.8103	test_accuracy: 0.8103	test_loss: nan	
test_auc: 0.8129	test_accuracy: 0.7440	test_loss: nan	
test_auc: 0.7959	test_accuracy: 0.7440	test_loss: nan	
test_auc: 0.7794	test_accuracy: 0.7540	test_loss: nan	
test_auc: 0.8226	test_accuracy: 0.8259	test_loss: nan	
test_auc: 0.7807	test_accuracy: 0.7530	test_loss: nan	
test_auc: 0.7840	test_accuracy: 0.7805	test_loss: nan	
test_auc: 0.7606	test_accuracy: 0.7480	test_loss: nan	
test_auc: 0.7548	test_accuracy: 0.7592	test_loss: nan	
Epoch 2/20, loss : 0.50321, auc : 0.79047, accuracy : 0.75767
Epoch 2/20, valid auc : 0.80438, valid accuracy : 0.76048
0.7958 to 0.8044
test_auc: 0.6365	test_accuracy: 0.6073	test_loss: 0.6591	
